Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,26,59,167,374,1144,3312,2564,2354
Australia,98,104,253,562,2533,2367,1986,2097
Austria,206,232,407,775,982,2862,2218,2318
Belarus,7,12,38,115,368,1534,2264,5662
Belgium,150,165,445,897,1632,2278,1977,2456
Bolivia,4,22,61,188,613,1667,2209,5236
Brazil,438,267,423,553,1233,1847,1921,3318
Bulgaria,6,17,40,158,551,1846,2576,4806
Canada,298,319,634,1154,1673,2726,1735,1461
Chile,48,75,199,461,1471,2421,2190,3135
China,113,142,245,450,1436,2515,2190,2909
Chinese Taipei,231,318,607,1307,1262,2693,1878,1704
Colombia,5,10,28,106,414,1504,2209,5724
Costa Rica,44,54,149,354,879,2078,2317,4125
Croatia,10,33,81,271,549,2075,2534,4447
Cyprus,10,25,67,208,408,1439,2083,5760
Czech Republic,69,127,249,479,2338,3092,2144,1502
Denmark,335,418,707,1290,2549,2236,1324,1141
Dominican Republic,35,70,162,347,716,2026,2402,4242
Ecuador,37,57,146,364,818,2209,2540,3829
El Salvador,13,19,67,160,545,1709,2361,5126
England,57,103,208,502,783,3390,3109,1848
Estonia,77,134,296,731,1128,2313,2206,3115
Finland,202,168,279,463,1020,3439,2545,1884
France,889,550,923,1448,1868,1887,1234,1201
Germany,227,292,664,1244,1739,2262,1687,1885
Greece,137,176,426,968,1026,1552,1728,3987
Guatemala,24,51,95,254,866,2116,2496,4098
Hong Kong,48,66,131,251,1188,2890,2847,2579
Hungary,48,49,122,248,613,1988,2620,4312
Iceland,10,34,122,385,866,1395,1860,5328
Indonesia,65,79,193,424,1061,2223,2260,3695
Ireland,32,63,194,342,806,2216,2573,3774
Israel,4,23,79,208,834,1306,1762,5784
Italy,250,240,407,749,2022,2430,1883,2019
Japan,413,330,570,1001,1324,2883,1841,1638
Latvia,50,72,190,581,1392,1977,2079,3659
Lithuania,14,32,81,224,889,1756,2316,4688
Luxembourg,128,149,366,682,2094,2260,1924,2397
Macedonia,44,47,84,191,373,1919,2479,4863
Malaysia,384,388,761,1350,1481,2168,1551,1917
Malta,11,28,68,193,719,2012,2495,4474
Mexico,143,138,308,572,1585,3777,2161,1316
Netherlands,944,617,997,1653,925,1889,1371,1604
New Zealand,442,483,894,1688,1678,2387,1348,1080
Northern Ireland,7,23,68,194,576,2022,2810,4300
Norway,11,24,57,174,571,1756,2452,4955
Panama,34,57,174,347,903,2173,2416,3896
Paraguay,16,19,97,212,585,1642,2241,5188
Peru,31,57,110,246,786,2127,2414,4229
Philippines,42,66,188,471,1523,2548,2284,2878
Poland,1025,569,840,1210,2432,2099,1088,737
Portugal,391,420,858,1877,847,3341,1491,775
Puerto Rico,6,20,52,157,536,1800,2488,4941
Romania,4,9,27,118,386,1350,2171,5935
Russian Federation,20,37,111,267,700,2206,2735,3924
Scotland,14,33,116,348,573,2352,2728,3836
Serbia,33,56,144,333,480,2133,2521,4300
Singapore,69,102,262,575,340,2571,2920,3161
Slovakia,410,291,510,816,1831,1786,1700,2656
Slovenia,28,78,196,544,675,2005,2378,4096
South Africa,6,21,50,125,469,1636,2342,5351
South Korea,32,53,109,259,1224,2063,2519,3741
Spain,37,57,128,234,690,2253,2892,3709
Sweden,104,161,292,544,2071,2514,2058,2256
Switzerland,200,153,281,408,1840,2576,2155,2387
Thailand,88,111,247,512,1995,2325,2037,2685
Turkey,34,48,152,366,1155,1991,2187,4067
Ukraine,37,56,133,290,592,1451,2021,5420
United States,338,359,624,1182,1460,2069,1714,2254
Uruguay,33,55,111,252,633,1733,2180,5003
Venezuela,70,95,206,425,788,2482,2763,3171
Wales,54,113,224,589,945,2125,2298,3652
