Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,1653,2914,7371,18087,13069,17889,15763,23254
Australia,901,1408,3430,7919,14218,34105,22877,15142
Austria,3508,3117,5675,9635,14893,21436,18554,23182
Belarus,64,171,519,1553,5620,16425,23227,52421
Belgium,2048,2225,4739,9012,15081,23667,19601,23627
Bolivia,75,167,475,1283,4907,14334,21172,57587
Brazil,2344,2015,3689,6606,8939,27889,23210,25308
Bulgaria,94,196,616,1831,7094,18030,23557,48582
Canada,5989,6245,12077,23179,17540,19566,9397,6007
Chile,639,993,2277,5056,13418,20887,21333,35397
China,1300,1697,3420,7205,15499,27356,22259,21264
Chinese Taipei,2303,2625,5223,10172,16859,28227,19421,15170
Colombia,51,125,389,1216,4690,14507,21698,57324
Costa Rica,295,687,1759,4633,13694,20248,21396,37288
Croatia,160,312,921,2596,5826,18696,25402,46087
Cyprus,136,242,743,1744,4626,13781,20810,57918
Czech Republic,2347,1577,2639,4043,10878,37149,24730,16637
Denmark,2992,3063,5722,10661,11117,26370,20314,19761
Dominican Republic,112,249,688,2042,5908,20160,27516,43325
Ecuador,569,936,2281,5688,14838,24317,22455,28916
El Salvador,72,164,511,1564,4660,14292,21533,57204
England,550,619,1266,2441,11101,29906,31237,22880
Estonia,409,700,1848,4538,6495,20006,23326,42678
Finland,1243,1563,3579,7609,10030,23024,22093,30859
France,6966,4064,6216,8943,25553,28739,12529,6990
Germany,4580,3649,6342,10818,14098,27238,18287,14988
Greece,363,728,1962,5377,11506,20537,21383,38144
Guatemala,247,463,1137,2792,6681,17706,22058,48916
Hong Kong,1104,1483,2992,6287,11732,33796,25642,16964
Hungary,62,130,362,1103,4829,15712,23931,53871
Iceland,336,477,944,1991,11936,23984,26190,34142
Indonesia,604,913,1948,4224,13991,23207,22909,32204
Ireland,486,714,1609,3833,11016,24247,24527,33568
Israel,121,180,527,1315,5617,17613,23793,50834
Italy,3290,3373,6086,11188,17675,17376,15857,25155
Japan,3610,3869,7795,14800,8362,32273,18132,11159
Latvia,444,510,984,1990,6383,18275,24371,47043
Lithuania,230,323,670,1279,6753,18857,24611,47277
Luxembourg,635,822,1969,4189,15233,21443,21160,34549
Macedonia,102,215,683,2084,5083,18186,25321,48326
Malaysia,2904,3197,6239,11650,20484,23637,16156,15733
Malta,143,252,763,1839,4801,13886,20249,58067
Mexico,1047,1113,2176,4078,11367,37235,26130,16854
Netherlands,4519,3707,6441,11025,15548,20587,16585,21588
New Zealand,3244,3064,5706,10325,24572,18842,15975,18272
Northern Ireland,101,222,691,2200,6093,17568,23683,49442
Norway,132,219,626,1686,4665,15736,23111,53825
Panama,449,711,1752,4104,9981,21250,23224,38529
Paraguay,95,192,569,1819,6176,18339,24989,47821
Peru,171,305,839,2188,5967,17120,23338,50072
Philippines,648,782,1719,3723,16719,23500,22839,30070
Poland,5801,3663,5607,8613,11902,23859,18882,21673
Portugal,3578,3576,7090,13252,33951,22416,9893,6244
Puerto Rico,125,255,624,1633,5559,17719,24677,49408
Romania,60,151,410,1205,4846,14240,21247,57841
Russian Federation,448,663,1582,3317,7606,24512,26490,35382
Scotland,242,476,1246,3044,8098,24242,26849,35803
Serbia,1596,1402,2458,4402,11645,21516,21522,35459
Singapore,193,429,1190,3151,7318,27447,29432,30840
Slovakia,2117,2357,4734,9297,17017,19207,18194,27077
Slovenia,320,319,593,1133,5881,15868,22422,53464
South Africa,53,160,408,1182,4807,14827,22382,56181
South Korea,630,677,1441,2830,6115,19221,23864,45222
Spain,954,992,2123,4239,14640,25912,23657,27483
Sweden,6281,3148,4487,6451,13953,22590,18433,24657
Switzerland,2109,2461,4991,9966,18205,22190,18372,21706
Thailand,376,560,1460,3501,9705,28196,26696,29506
Turkey,274,481,1365,3602,9336,19793,24026,41123
Ukraine,330,418,903,2020,7848,25332,28213,34936
United States,6855,6254,11012,18770,18132,21304,10228,7445
Uruguay,506,763,1639,3535,10553,23631,24546,34827
Venezuela,156,327,1070,3112,7604,27466,28224,32041
Wales,509,781,1963,4582,11458,19356,21890,39461
